TimeRemaining,AwayPlay,Score,HomePlay
7:28.0,Defensive rebound by Team,32-43, 
7:28.0, ,32-43,Loose ball foul by J. Randle (drawn by K. Middleton)
7:28.0,B. Lopez enters the game for G. Antetokounmpo,32-43, 
7:28.0, ,32-43,I. Hartenstein enters the game for T. Gibson
7:13.0,B. Lopez makes 2-pt hook shot from 12 ft (assist by K. Middleton),34-43, 
6:54.0, ,34-43,I. Quickley misses 2-pt layup from 2 ft
6:54.0,Defensive rebound by Team,34-43, 
6:54.0, ,34-43,Loose ball foul by J. Randle (drawn by B. Portis)
6:54.0, ,34-43,R. Barrett enters the game for I. Quickley
6:54.0, ,34-43,J. Brunson enters the game for J. Randle
6:39.0,B. Lopez makes 2-pt layup from 1 ft (assist by K. Middleton),36-43, 
6:25.0, ,36-43,J. Brunson misses 2-pt layup from 1 ft
6:22.0, ,36-43,Offensive rebound by I. Hartenstein
6:22.0, ,36-43,I. Hartenstein misses 2-pt layup at rim
6:22.0,Defensive rebound by M. Beauchamp,36-43, 
6:17.0,K. Middleton misses 2-pt jump shot from 18 ft,36-43, 
6:16.0,Offensive rebound by B. Portis,36-43, 
6:16.0,Shooting foul by R. Barrett (drawn by B. Portis),36-43, 
6:16.0,M. Beasley enters the game for M. Beauchamp,36-43, 
6:16.0,B. Portis makes free throw 1 of 2,37-43, 
6:16.0,B. Portis makes free throw 2 of 2,38-43, 
6:05.0, ,38-45,R. Barrett makes 2-pt jump shot from 17 ft (assist by Q. Grimes)
5:50.0,K. Middleton misses 2-pt jump shot from 16 ft,38-45, 
5:49.0, ,38-45,Defensive rebound by J. Brunson
5:38.0, ,38-45,Personal foul by K. Middleton (drawn by I. Hartenstein)
5:38.0,Technical foul by K. Middleton,38-45, 
5:38.0,D. Lillard enters the game for C. Payne,38-45, 
5:38.0, ,38-45,D. DiVincenzo enters the game for Q. Grimes
5:38.0, ,38-45,J. Brunson misses technical free throw
5:38.0, ,38-45,Offensive rebound by Team
5:23.0, ,38-45,D. DiVincenzo misses 2-pt jump shot from 8 ft
5:23.0, ,38-45,Offensive rebound by Team
5:23.0, ,38-45,Turnover by Team (shot clock)
5:12.0,K. Middleton misses 2-pt layup at rim,38-45, 
5:09.0, ,38-45,Defensive rebound by R. Barrett
5:04.0, ,38-45,J. Hart misses 3-pt jump shot from 25 ft
5:01.0, ,38-45,Offensive rebound by Team
5:01.0,G. Antetokounmpo enters the game for B. Portis,38-45, 
5:01.0, ,38-45,J. Randle enters the game for J. Hart
4:56.0, ,38-45,Shooting foul by M. Beasley (drawn by J. Brunson)
4:56.0, ,38-46,J. Brunson makes free throw 1 of 2
4:56.0, ,38-47,J. Brunson makes free throw 2 of 2
4:43.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,38-47, 
4:40.0,Offensive rebound by B. Lopez,38-47, 
4:39.0,Shooting foul by I. Hartenstein (drawn by G. Antetokounmpo),38-47, 
4:39.0,G. Antetokounmpo misses free throw 1 of 2,38-47, 
4:39.0,Offensive rebound by Team,38-47, 
4:39.0,G. Antetokounmpo makes free throw 2 of 2,39-47, 
4:23.0, ,39-49,I. Hartenstein makes 2-pt jump shot from 5 ft (assist by D. DiVincenzo)
4:08.0,Turnover by D. Lillard (bad pass),39-49, 
4:03.0, ,39-49,J. Brunson misses 2-pt jump shot from 10 ft
3:59.0, ,39-49,Offensive rebound by I. Hartenstein
3:56.0, ,39-49,J. Randle misses 2-pt jump shot from 8 ft
3:51.0,Defensive rebound by M. Beasley,39-49, 
3:47.0,K. Middleton makes 2-pt jump shot from 12 ft (assist by M. Beasley),41-49, 
3:31.0, ,41-52,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Randle)
3:10.0,K. Middleton misses 3-pt jump shot from 22 ft,41-52, 
3:07.0, ,41-52,Defensive rebound by I. Hartenstein
2:59.0, ,41-52,Turnover by R. Barrett (lost ball; steal by D. Lillard)
2:59.0,Personal foul by R. Barrett (drawn by D. Lillard),41-52, 
2:59.0,Milwaukee full timeout,41-52, 
2:59.0,D. Lillard makes free throw 1 of 2,42-52, 
2:59.0,D. Lillard makes free throw 2 of 2,43-52, 
2:47.0, ,43-52,J. Brunson misses 2-pt jump shot from 16 ft
2:45.0, ,43-52,Offensive rebound by Team
2:36.0, ,43-52,D. DiVincenzo misses 3-pt jump shot from 25 ft
2:33.0,Defensive rebound by M. Beasley,43-52, 
2:26.0,D. Lillard makes 2-pt jump shot from 9 ft,45-52, 
2:09.0, ,45-54,J. Randle makes 2-pt layup from 1 ft (assist by D. DiVincenzo)
1:57.0,D. Lillard makes 3-pt jump shot from 27 ft,48-54, 
1:41.0, ,48-54,R. Barrett misses 3-pt jump shot from 25 ft
1:41.0, ,48-54,Offensive rebound by Team
1:41.0,Loose ball foul by D. Lillard (drawn by D. DiVincenzo),48-54, 
1:41.0, ,48-54,T. Gibson enters the game for I. Hartenstein
1:36.0, ,48-56,R. Barrett makes 2-pt jump shot from 12 ft (assist by T. Gibson)
1:18.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by D. Lillard),51-56, 
1:01.0, ,51-59,J. Brunson makes 3-pt jump shot from 25 ft
0:47.0,D. Lillard misses 3-pt jump shot from 27 ft,51-59, 
0:44.0, ,51-59,Defensive rebound by R. Barrett
0:33.0, ,51-62,J. Randle makes 3-pt jump shot from 25 ft (assist by T. Gibson)
0:22.0,B. Lopez misses 3-pt jump shot from 26 ft,51-62, 
0:19.0, ,51-62,Defensive rebound by J. Randle
0:05.0, ,51-62,J. Brunson misses 2-pt jump shot from 12 ft
0:02.0, ,51-62,Offensive rebound by J. Randle
0:00.0, ,51-62,J. Randle misses 3-pt jump shot from 23 ft
0:00.0, ,51-62,Offensive rebound by Team
11:45.0, ,51-64,I. Hartenstein makes 2-pt layup from 1 ft (assist by R. Barrett)
11:45.0, ,51-64,Shooting foul by M. Beasley (drawn by I. Hartenstein)
11:45.0, ,51-65,I. Hartenstein makes free throw 1 of 1
11:28.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by D. Lillard),53-65, 
11:28.0,Shooting foul by I. Hartenstein (drawn by G. Antetokounmpo),53-65, 
11:28.0,G. Antetokounmpo makes free throw 1 of 1,54-65, 
11:02.0, ,54-65,J. Brunson misses 2-pt jump shot from 1 ft
10:59.0, ,54-65,Offensive rebound by I. Hartenstein
10:59.0, ,54-67,I. Hartenstein makes 2-pt dunk at rim
10:47.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),56-67, 
10:35.0, ,56-69,I. Hartenstein makes 2-pt dunk from 1 ft (assist by J. Brunson)
10:21.0,Shooting foul by I. Hartenstein (drawn by B. Lopez),56-69, 
