TimeRemaining,AwayPlay,Score,HomePlay
8:02.0, ,46-34,C. Metu misses 2-pt layup from 5 ft
8:00.0, ,46-34,Offensive rebound by J. Goodwin
8:00.0, ,46-34,Shooting foul by T. Hardaway (drawn by J. Goodwin)
8:00.0, ,46-35,J. Goodwin makes free throw 1 of 2
8:00.0,L. Dončić enters the game for J. Hardy,46-35, 
8:00.0,D. Jones enters the game for D. Powell,46-35, 
8:00.0,D. Lively enters the game for G. Williams,46-35, 
8:00.0, ,46-35,G. Allen enters the game for U. Azubuike
8:00.0, ,46-35,D. Eubanks enters the game for C. Metu
8:00.0, ,46-36,J. Goodwin makes free throw 2 of 2
7:52.0,D. Exum misses 2-pt layup from 4 ft,46-36, 
7:50.0, ,46-36,Defensive rebound by D. Eubanks
7:47.0, ,46-36,Shooting foul by D. Jones (drawn by K. Durant)
7:47.0, ,46-37,K. Durant makes free throw 1 of 2
7:47.0, ,46-38,K. Durant makes free throw 2 of 2
7:30.0,D. Exum misses 3-pt jump shot from 23 ft,46-38, 
7:28.0,Offensive rebound by Team,46-38, 
7:28.0,G. Williams enters the game for D. Exum,46-38, 
7:28.0, ,46-38,J. Okogie enters the game for E. Gordon
7:23.0,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Lively),49-38, 
7:21.0, ,49-38,Phoenix full timeout
7:05.0, ,49-38,J. Goodwin misses 3-pt jump shot from 26 ft
7:04.0, ,49-38,Offensive rebound by Team
7:04.0,Loose ball foul by G. Williams (drawn by J. Okogie),49-38, 
7:04.0, ,49-38,D. Booker enters the game for J. Goodwin
7:00.0, ,49-38,Offensive foul by D. Eubanks (drawn by D. Jones)
7:00.0, ,49-38,Turnover by D. Eubanks (offensive foul)
6:46.0,Turnover by L. Dončić (bad pass; steal by D. Eubanks),49-38, 
6:43.0, ,49-38,Shooting foul by L. Dončić (drawn by K. Durant)
6:43.0, ,49-39,K. Durant makes free throw 1 of 2
6:43.0,D. Exum enters the game for T. Hardaway,49-39, 
6:43.0, ,49-40,K. Durant makes free throw 2 of 2
6:30.0,D. Lively makes 2-pt layup from 4 ft (assist by L. Dončić),51-40, 
6:20.0, ,51-40,K. Durant misses 2-pt jump shot from 11 ft
6:19.0, ,51-40,Offensive rebound by D. Eubanks
6:19.0, ,51-40,D. Eubanks misses 2-pt layup from 1 ft
6:19.0,Defensive rebound by D. Exum,51-40, 
6:07.0,L. Dončić misses 3-pt jump shot from 26 ft,51-40, 
6:03.0, ,51-40,Defensive rebound by D. Eubanks
6:01.0, ,51-40,Shooting foul by D. Exum (drawn by D. Booker)
6:01.0, ,51-41,D. Booker makes free throw 1 of 2
6:01.0, ,51-41,E. Gordon enters the game for K. Durant
6:01.0, ,51-41,C. Metu enters the game for J. Okogie
6:01.0, ,51-42,D. Booker makes free throw 2 of 2
5:40.0,Turnover by D. Exum (bad pass),51-42, 
